"Plot_name","Quadrat_corner","Species_or_type","Count","Phenophase","Date","Notes","Plot_event_ID","Sample_number1","Sample_number2"
"SRA-005","NW","Erodium sp.",10,"full leaf out",2022-02-24,"N/A",67,39,-9999
"SRA-005","SE","Erodium sp.",6,"full leaf out",2022-02-24,"N/A",67,39,-9999
"SRA-005","SW","Erodium sp.",11,"full leaf out",2022-02-24,"N/A",67,39,-9999
"SRB-021","NE","Annual grass",46,"full leaf out",2022-03-10,"N/A",226,42,-9999
"SRB-021","NW","Annual grass",40,"full leaf out",2022-03-10,"N/A",226,42,-9999
"SRB-021","SE","Annual grass",36,"full leaf out",2022-03-10,"N/A",226,42,-9999
"SRB-021","SW","Annual grass",45,"full leaf out",2022-03-10,"N/A",226,42,-9999
"SRB-008","NE","Avena fatua - Wild oat",4,"full leaf out",2022-03-01,"N/A",79,45,-9999
"SRB-008","NW","Avena fatua - Wild oat",15,"full leaf out",2022-03-01,"N/A",79,45,-9999
"SRB-008","SE","Avena fatua - Wild oat",8,"full leaf out",2022-03-01,"N/A",79,45,-9999
"SRB-008","SW","Avena fatua - Wild oat",23,"full leaf out",2022-03-01,"N/A",79,45,-9999
"DPB-022","NE","Bromus diandrus - Ripgut brome",24,"seeds",2022-04-06,"N/A",610,46,-9999
"DPB-022","NW","Bromus diandrus - Ripgut brome",24,"flowers",2022-04-06,"N/A",610,46,-9999
"DPB-022","SE","Bromus diandrus - Ripgut brome",17,"seeds",2022-04-06,"N/A",610,46,-9999
"DPB-022","SW","Bromus diandrus - Ripgut brome",23,"seeds",2022-04-06,"N/A",610,46,-9999
"SRB-009","NE","Annual grass",43,"full leaf out",2022-03-01,"N/A",82,47,-9999
"SRB-009","NW","Annual grass",15,"full leaf out",2022-03-01,"N/A",82,47,-9999
"SRB-009","SE","Annual grass",24,"full leaf out",2022-03-01,"N/A",82,47,-9999
"SRB-009","SW","Annual grass",38,"full leaf out",2022-03-01,"N/A",82,47,-9999
"SRB-010","NE","Annual grass",17,"full leaf out",2022-03-01,"N/A",85,48,-9999
"SRB-010","NW","Annual grass",35,"full leaf out",2022-03-01,"N/A",85,48,-9999
"SRB-010","SE","Annual grass",21,"full leaf out",2022-03-01,"N/A",85,48,-9999
"SRB-010","SW","Annual grass",13,"full leaf out",2022-03-01,"N/A",85,48,-9999
"SRA-005","NE","Avena fatua - Wild oat",6,"full leaf out",2022-02-24,"N/A",67,71,-9999
"SRA-005","NW","Avena fatua - Wild oat",28,"full leaf out",2022-02-24,"N/A",67,71,-9999
"SRA-005","SE","Avena fatua - Wild oat",10,"full leaf out",2022-02-24,"N/A",67,71,-9999
"SRA-005","SW","Avena fatua - Wild oat",3,"full leaf out",2022-02-24,"N/A",67,71,-9999
"SRA-005","NE","Medicago polymorpha - bur clover",17,"full leaf out",2022-02-24,"N/A",67,72,-9999
"SRA-005","NW","Medicago polymorpha - bur clover",2,"full leaf out",2022-02-24,"N/A",67,72,-9999
"SRA-005","SE","Medicago polymorpha - bur clover",16,"full leaf out",2022-02-24,"N/A",67,72,-9999
"SRA-005","SW","Medicago polymorpha - bur clover",17,"full leaf out",2022-02-24,"N/A",67,72,-9999
"SRA-007","NE","Lupinus nanus - Sky lupine",3,"full leaf out",2022-02-25,"N/A",58,74,-9999
"SRA-007","NW","Lupinus nanus - Sky lupine",12,"full leaf out",2022-02-25,"N/A",58,74,-9999
"SRA-007","SE","Lupinus nanus - Sky lupine",18,"full leaf out",2022-02-25,"N/A",58,74,-9999
"SRA-007","SW","Lupinus nanus - Sky lupine",5,"full leaf out",2022-02-25,"N/A",58,74,-9999
"SRA-007","NE","Bromus tectorum",4,"full leaf out",2022-02-25,"N/A",58,75,-9999
"SRA-007","NW","Bromus tectorum",12,"full leaf out",2022-02-25,"N/A",58,75,-9999
"SRA-007","SE","Bromus tectorum",8,"full leaf out",2022-02-25,"N/A",58,75,-9999
"SRA-007","NE","Eschscholzia californica - California poppy",8,"full leaf out",2022-02-25,"N/A",58,76,-9999
"SRA-007","SE","Eschscholzia californica - California poppy",4,"full leaf out",2022-02-25,"N/A",58,76,-9999
"SRA-007","SW","Eschscholzia californica - California poppy",9,"full leaf out",2022-02-25,"N/A",58,76,-9999
"SRA-007","NE","Calandrinia menzieszii - Red maids",9,"full leaf out",2022-02-25,"N/A",58,77,-9999
"SRA-007","NW","Calandrinia menzieszii - Red maids",10,"full leaf out",2022-02-25,"N/A",58,77,-9999
"SRA-007","SE","Calandrinia menzieszii - Red maids",3,"full leaf out",2022-02-25,"N/A",58,77,-9999
"SRA-007","SW","Calandrinia menzieszii - Red maids",11,"full leaf out",2022-02-25,"N/A",58,77,-9999
"SRA-010","NE","Annual grass",18,"early leaf out",2022-03-02,"N/A",94,80,-9999
"SRA-010","NW","Annual grass",9,"early leaf out",2022-03-02,"N/A",94,80,-9999
"SRA-010","SE","Annual grass",19,"early leaf out",2022-03-02,"N/A",94,80,-9999
"SRA-010","SW","Annual grass",17,"early leaf out",2022-03-02,"N/A",94,80,-9999
"SRA-005","NE","Brassica nigra - Black mustard",11,"flowers",2022-02-24,"N/A",67,91,-9999
"SRA-005","NW","Brassica nigra - Black mustard",4,"flowers",2022-02-24,"N/A",67,91,-9999
"SRA-005","SE","Brassica nigra - Black mustard",13,"flowers",2022-02-24,"N/A",67,91,-9999
"SRA-005","SW","Brassica nigra - Black mustard",11,"flowers",2022-02-24,"N/A",67,91,-9999
"SRB-025","NE","Annual grass",46,"full leaf out",2022-03-10,"N/A",238,105,-9999
"SRB-025","NW","Annual grass",35,"full leaf out",2022-03-10,"N/A",238,105,-9999
"SRB-025","SE","Annual grass",27,"full leaf out",2022-03-10,"N/A",238,105,-9999
"SRB-025","SW","Annual grass",37,"full leaf out",2022-03-10,"N/A",238,105,-9999
"SRB-022","NE","Annual grass",15,"full leaf out",2022-03-10,"N/A",229,109,-9999
"SRB-022","NW","Annual grass",20,"full leaf out",2022-03-10,"N/A",229,109,-9999
"SRB-022","SE","Annual grass",44,"full leaf out",2022-03-10,"N/A",229,109,-9999
"SRB-022","SW","Annual grass",43,"full leaf out",2022-03-10,"N/A",229,109,-9999
"SRB-022","NE","Amsinckia menziesii - Fiddleneck",3,"full leaf out",2022-03-10,"N/A",229,110,-9999
"SRB-022","SW","Amsinckia menziesii - Fiddleneck",1,"full leaf out",2022-03-10,"N/A",229,110,-9999
"SRA-019","NE","Avena fatua - Wild oat",4,"full leaf out",2022-03-10,"N/A",217,118,-9999
"SRA-019","NW","Avena fatua - Wild oat",36,"full leaf out",2022-03-10,"N/A",217,118,-9999
"SRA-019","SE","Avena fatua - Wild oat",30,"full leaf out",2022-03-10,"N/A",217,118,-9999
"SRA-019","SW","Avena fatua - Wild oat",31,"full leaf out",2022-03-10,"N/A",217,118,-9999
"SRA-020","NE","Hazardia squarrosa - Sawtooth goldenbush",1,"full leaf out",2022-03-10,"N/A",220,119,-9999
"SRA-020","NW","Hazardia squarrosa - Sawtooth goldenbush",10,"early leaf out",2022-03-10,"N/A",220,119,-9999
"SRA-020","SE","Hazardia squarrosa - Sawtooth goldenbush",3,"full leaf out",2022-03-10,"N/A",220,119,-9999
"SRA-020","NE","Annual grass",19,"full leaf out",2022-03-10,"N/A",220,120,-9999
"SRA-020","NW","Annual grass",21,"early leaf out",2022-03-10,"N/A",220,120,-9999
"SRA-020","SE","Annual grass",15,"full leaf out",2022-03-10,"N/A",220,120,-9999
"SRA-020","SW","Annual grass",8,"full leaf out",2022-03-10,"N/A",220,120,-9999
"SRB-010","NW","Brassica nigra - Black mustard",8,"early leaf out",2022-03-01,"N/A",85,132,-9999
"SRB-010","SW","Brassica nigra - Black mustard",7,"early leaf out",2022-03-01,"N/A",85,132,-9999
"SRB-013","SE","Stipa pulchra - Purple needle grass",7,"full leaf out",2022-03-02,"N/A",109,135,-9999
"SRB-013","SW","Stipa pulchra - Purple needle grass",5,"full leaf out",2022-03-02,"N/A",109,135,-9999
"SRB-013","NE","Hazardia squarrosa - Sawtooth goldenbush",5,"full leaf out",2022-03-02,"N/A",109,136,-9999
"SRB-013","NE","Annual grass",17,"full leaf out",2022-03-02,"N/A",109,137,-9999
"SRB-013","NW","Annual grass",22,"full leaf out",2022-03-02,"N/A",109,137,-9999
"SRB-013","SE","Annual grass",15,"full leaf out",2022-03-02,"N/A",109,137,-9999
"SRB-013","SW","Annual grass",6,"full leaf out",2022-03-02,"N/A",109,137,-9999
"SRB-015","NE","Toxicoscordion fremontii - Common star lily",3,"full leaf out",2022-03-02,"N/A",118,140,-9999
"SRB-015","NW","Toxicoscordion fremontii - Common star lily",1,"full leaf out",2022-03-02,"N/A",118,140,-9999
"SRB-015","SW","Toxicoscordion fremontii - Common star lily",6,"full leaf out",2022-03-02,"N/A",118,140,-9999
"SRB-015","NE","Annual grass",21,"full leaf out",2022-03-02,"N/A",118,141,-9999
"SRB-015","NW","Annual grass",21,"full leaf out",2022-03-02,"N/A",118,141,-9999
"SRB-015","SE","Annual grass",29,"full leaf out",2022-03-02,"N/A",118,141,-9999
"SRB-015","SW","Annual grass",12,"full leaf out",2022-03-02,"N/A",118,141,-9999
"DPA-013","NE","Carpobrotus edulis - Iceplant",36,"full leaf out",2022-03-09,"N/A",187,149,150
"DPA-013","NW","Carpobrotus edulis - Iceplant",29,"full leaf out",2022-03-09,"N/A",187,149,150
"DPA-013","SE","Carpobrotus edulis - Iceplant",28,"full leaf out",2022-03-09,"N/A",187,149,150
"DPA-013","SW","Carpobrotus edulis - Iceplant",39,"full leaf out",2022-03-09,"N/A",187,149,150
"SRA-020","NE","Amsinckia menziesii - Fiddleneck",7,"full leaf out",2022-03-10,"N/A",220,151,-9999
"SRA-020","SE","Amsinckia menziesii - Fiddleneck",11,"full leaf out",2022-03-10,"N/A",220,151,-9999
"SRA-020","SW","Amsinckia menziesii - Fiddleneck",17,"full leaf out",2022-03-10,"N/A",220,151,-9999
"SRA-022","NE","Annual grass",48,"full leaf out",2022-03-10,"N/A",223,153,-9999
"SRA-022","NW","Annual grass",45,"full leaf out",2022-03-10,"N/A",223,153,-9999
"SRA-022","SE","Annual grass",40,"full leaf out",2022-03-10,"N/A",223,153,-9999
"SRA-022","SW","Annual grass",28,"full leaf out",2022-03-10,"N/A",223,153,-9999
"DPB-003","NW","Amsinckia menziesii - Fiddleneck",18,"full leaf out",2022-03-03,"Flowering",124,154,-9999
"DPB-003","SE","Amsinckia menziesii - Fiddleneck",5,"full leaf out",2022-03-03,"N/A",124,154,-9999
"DPB-003","SW","Amsinckia menziesii - Fiddleneck",33,"full leaf out",2022-03-03,"N/A",124,154,-9999
"DPB-003","NE","Croton setiger",44,"full leaf out",2022-03-03,"N/A",124,155,-9999
"DPB-003","NW","Croton setiger",10,"full leaf out",2022-03-03,"N/A",124,155,-9999
"DPB-003","NE","Bromus diandrus - Ripgut brome",5,"full leaf out",2022-03-03,"N/A",124,159,-9999
"DPB-003","NW","Bromus diandrus - Ripgut brome",4,"full leaf out",2022-03-03,"N/A",124,159,-9999
"DPB-003","SE","Bromus diandrus - Ripgut brome",24,"full leaf out",2022-03-03,"N/A",124,159,-9999
"DPB-003","SW","Bromus diandrus - Ripgut brome",3,"full leaf out",2022-03-03,"N/A",124,159,-9999
"DPB-004","NE","Bromus diandrus - Ripgut brome",47,"full leaf out",2022-03-03,"N/A",133,160,-9999
"DPB-004","NW","Bromus diandrus - Ripgut brome",40,"full leaf out",2022-03-03,"N/A",133,160,-9999
"DPB-004","SE","Bromus diandrus - Ripgut brome",35,"full leaf out",2022-03-03,"N/A",133,160,-9999
"DPB-004","SW","Bromus diandrus - Ripgut brome",33,"full leaf out",2022-03-03,"N/A",133,160,-9999
"DPB-004","NE","Lepidium nitidum",2,"full leaf out",2022-03-03,"N/A",133,161,-9999
"DPB-004","SW","Lepidium nitidum",3,"full leaf out",2022-03-03,"N/A",133,161,-9999
"DPB-005","NE","Plantago erecta - Foothill plantain",1,"full leaf out",2022-03-03,"N/A",142,162,-9999
"DPB-005","NW","Plantago erecta - Foothill plantain",3,"full leaf out",2022-03-03,"N/A",142,162,-9999
"DPB-005","SE","Plantago erecta - Foothill plantain",5,"full leaf out",2022-03-03,"N/A",142,162,-9999
"DPB-005","SW","Plantago erecta - Foothill plantain",4,"full leaf out",2022-03-03,"N/A",142,162,-9999
"DPB-005","NE","Annual grass",9,"full leaf out",2022-03-03,"N/A",142,163,-9999
"DPB-005","NW","Annual grass",3,"full leaf out",2022-03-03,"N/A",142,163,-9999
"DPB-005","SE","Annual grass",13,"full leaf out",2022-03-03,"N/A",142,163,-9999
"DPB-005","SW","Annual grass",4,"full leaf out",2022-03-03,"N/A",142,163,-9999
"DPB-005","NE","Calystegia macrostegia",3,"full leaf out",2022-03-03,"N/A",142,165,-9999
"DPB-005","NW","Calystegia macrostegia",10,"full leaf out",2022-03-03,"N/A",142,165,-9999
"DPB-005","SE","Calystegia macrostegia",3,"full leaf out",2022-03-03,"N/A",142,165,-9999
"DPB-005","SW","Calystegia macrostegia",5,"full leaf out",2022-03-03,"N/A",142,165,-9999
"SRA-038","NE","Eriogonum elonongatum - Longstem buckwheat",5,"full leaf out",2022-03-25,"N/A",490,171,-9999
"SRA-038","NW","Eriogonum elonongatum - Longstem buckwheat",11,"full leaf out",2022-03-25,"N/A",490,171,-9999
"SRA-038","SE","Eriogonum elonongatum - Longstem buckwheat",8,"early leaf out",2022-03-25,"N/A",490,171,-9999
"SRA-038","SW","Eriogonum elonongatum - Longstem buckwheat",8,"full leaf out",2022-03-25,"N/A",490,171,-9999
"SRA-036","NE","Annual grass",10,"full leaf out",2022-03-25,"N/A",484,178,-9999
"SRA-036","NW","Annual grass",12,"full leaf out",2022-03-25,"N/A",484,178,-9999
"SRA-036","SE","Annual grass",12,"full leaf out",2022-03-25,"N/A",484,178,-9999
"SRA-036","SW","Annual grass",2,"full leaf out",2022-03-25,"N/A",484,178,-9999
"SRA-036","NE","Amsinckia menziesii - Fiddleneck",1,"full leaf out",2022-03-25,"N/A",484,179,-9999
"SRA-036","NW","Amsinckia menziesii - Fiddleneck",4,"full leaf out",2022-03-25,"N/A",484,179,-9999
"SRA-036","SW","Amsinckia menziesii - Fiddleneck",3,"full leaf out",2022-03-25,"N/A",484,179,-9999
"DPB-009","NE","Carpobrotus edulis - Iceplant",11,"full leaf out",2022-03-09,"N/A",199,183,-9999
"DPB-009","NW","Carpobrotus edulis - Iceplant",49,"full leaf out",2022-03-09,"N/A",199,183,-9999
"DPB-009","SE","Carpobrotus edulis - Iceplant",49,"full leaf out",2022-03-09,"N/A",199,183,-9999
"DPB-009","SW","Carpobrotus edulis - Iceplant",43,"full leaf out",2022-03-09,"N/A",199,183,-9999
"SRB-027","NE","Bromus diandrus - Ripgut brome",34,"full leaf out",2022-03-11,"N/A",304,194,-9999
"SRB-027","NW","Bromus diandrus - Ripgut brome",32,"full leaf out",2022-03-11,"N/A",304,194,-9999
"SRB-027","SE","Bromus diandrus - Ripgut brome",26,"full leaf out",2022-03-11,"N/A",304,194,-9999
"SRB-027","SW","Bromus diandrus - Ripgut brome",20,"full leaf out",2022-03-11,"N/A",304,194,-9999
"SRB-029","NE","Annual grass",12,"full leaf out",2022-03-11,"N/A",310,198,199
"SRB-029","NW","Annual grass",10,"full leaf out",2022-03-11,"N/A",310,198,199
"SRB-029","SE","Annual grass",21,"full leaf out",2022-03-11,"N/A",310,198,199
"SRB-029","SW","Annual grass",26,"full leaf out",2022-03-11,"N/A",310,198,199
"SRA-036","NE","Erodium cicutarium",15,"full leaf out",2022-03-25,"N/A",484,200,-9999
"SRA-036","NW","Erodium cicutarium",3,"full leaf out",2022-03-25,"N/A",484,200,-9999
"SRA-036","SE","Erodium cicutarium",7,"full leaf out",2022-03-25,"N/A",484,200,-9999
"SRA-036","SW","Erodium cicutarium",15,"full leaf out",2022-03-25,"N/A",484,200,-9999
"SRA-021","NE","Annual grass",11,"full leaf out",2022-03-10,"N/A",268,312,-9999
"SRA-021","NW","Annual grass",3,"full leaf out",2022-03-10,"N/A",268,312,-9999
"SRA-021","SE","Annual grass",1,"full leaf out",2022-03-10,"N/A",268,312,-9999
"SRA-021","SW","Annual grass",4,"full leaf out",2022-03-10,"N/A",268,312,-9999
"SRA-021","SW","Sisyrinchium bellum - Blue-eyed grass",14,"full leaf out",2022-03-10,"N/A",268,313,-9999
"SRA-023","NE","Avena fatua - Wild oat",40,"full leaf out",2022-03-10,"N/A",271,319,-9999
"SRA-023","NW","Avena fatua - Wild oat",26,"full leaf out",2022-03-10,"N/A",271,319,-9999
"SRA-023","SE","Avena fatua - Wild oat",21,"full leaf out",2022-03-10,"N/A",271,319,-9999
"SRA-023","SW","Avena fatua - Wild oat",31,"full leaf out",2022-03-10,"N/A",271,319,-9999
"SRA-021","NE","Hazardia squarrosa - Sawtooth goldenbush",8,"full leaf out",2022-03-10,"N/A",268,320,-9999
"SRA-021","NW","Hazardia squarrosa - Sawtooth goldenbush",15,"full leaf out",2022-03-10,"N/A",268,320,-9999
"SRA-021","SE","Hazardia squarrosa - Sawtooth goldenbush",7,"full leaf out",2022-03-10,"N/A",268,320,-9999
"SRA-021","SW","Hazardia squarrosa - Sawtooth goldenbush",10,"full leaf out",2022-03-10,"N/A",268,320,-9999
"SRA-057","NE","Annual grass",7,"full leaf out",2022-04-08,"Bromus diandrus - Ripgut brome",679,343,-9999
"SRA-057","NW","Annual grass",15,"full leaf out",2022-04-08,"Avena fatua - Wild oat",679,343,-9999
"SRA-057","SE","Annual grass",10,"full leaf out",2022-04-08,"Avena fatua - Wild oat",679,343,-9999
"SRA-057","SW","Annual grass",8,"full leaf out",2022-04-08,"Avena fatua - Wild oat",679,343,-9999
"SRA-057","SW","Annual grass",4,"full leaf out",2022-04-08,"Bromus diandrus - Ripgut brome",679,343,-9999
"SRA-057","NE","Lupinus nanus - Sky lupine",16,"full leaf out",2022-04-08,"N/A",679,345,-9999
"SRA-057","NW","Lupinus nanus - Sky lupine",6,"full leaf out",2022-04-08,"N/A",679,345,-9999
"SRA-057","SE","Lupinus nanus - Sky lupine",5,"full leaf out",2022-04-08,"N/A",679,345,-9999
"SRA-057","SW","Lupinus nanus - Sky lupine",5,"full leaf out",2022-04-08,"N/A",679,345,-9999
"SRA-057","NW","Avena fatua - Wild oat",12,"seeds",2022-04-08,"N/A",679,346,-9999
"SRA-057","SE","Avena fatua - Wild oat",4,"seeds",2022-04-08,"N/A",679,346,-9999
"SRA-057","SW","Avena fatua - Wild oat",12,"seeds",2022-04-08,"N/A",679,346,-9999
"DPA-028","NW","Hazardia squarrosa - Sawtooth goldenbush",2,"full leaf out",2022-03-23,"N/A",415,353,-9999
"DPA-028","SE","Hazardia squarrosa - Sawtooth goldenbush",10,"full leaf out",2022-03-23,"N/A",415,353,-9999
"DPA-028","SW","Hazardia squarrosa - Sawtooth goldenbush",4,"full leaf out",2022-03-23,"N/A",415,353,-9999
"DPA-030","NE","Hypochaeris glabra - Smooth cat's ear",4,"full leaf out",2022-03-24,"N/A",421,384,-9999
"DPA-030","NW","Hypochaeris glabra - Smooth cat's ear",12,"early leaf out",2022-03-24,"N/A",421,384,-9999
"DPA-030","SW","Hypochaeris glabra - Smooth cat's ear",10,"early leaf out",2022-03-24,"N/A",421,384,-9999
"DPA-030","NE","Stipa pulchra - Purple needle grass",33,"full leaf out",2022-03-24,"N/A",421,385,-9999
"DPA-030","NW","Stipa pulchra - Purple needle grass",14,"early leaf out",2022-03-24,"N/A",421,385,-9999
"DPA-030","SE","Stipa pulchra - Purple needle grass",19,"early leaf out",2022-03-24,"N/A",421,385,-9999
"DPA-030","SW","Stipa pulchra - Purple needle grass",17,"early leaf out",2022-03-24,"N/A",421,385,-9999
"DPA-028","NE","Annual grass",35,"flowers",2022-03-23,"Bromus diandrus - Ripgut brome",415,386,-9999
"DPA-028","NE","Annual grass",2,"flowers",2022-03-23,"Hordeum murinum ssp. leporinum",415,386,-9999
"DPA-028","NW","Annual grass",22,"flowers",2022-03-23,"Bromus diandrus - Ripgut brome",415,386,-9999
"DPA-028","SE","Annual grass",15,"flowers",2022-03-23,"Bromus diandrus - Ripgut brome",415,386,-9999
"DPA-028","SE","Annual grass",2,"flowers",2022-03-23,"Hordeum murinum ssp. leporinum",415,386,-9999
"DPA-028","SW","Annual grass",29,"flowers",2022-03-23,"Bromus diandrus - Ripgut brome",415,386,-9999
"DPA-028","NE","Annual grass",3,"full leaf out",2022-03-23,"Bromus diandrus - Ripgut brome",415,387,-9999
"DPA-028","NW","Annual grass",1,"full leaf out",2022-03-23,"Bromus diandrus - Ripgut brome",415,387,-9999
"DPA-028","NE","Brassica nigra - Black mustard",6,"full leaf out",2022-03-23,"N/A",415,388,-9999
"DPA-028","NW ","Brassica nigra - Black mustard",1,"full leaf out",2022-03-23,"N/A",415,388,-9999
"DPA-028","SW","Brassica nigra - Black mustard",2,"full leaf out",2022-03-23,"N/A",415,388,-9999
"DPA-028","NE","Amsinckia menziesii - Fiddleneck",1,"full leaf out",2022-03-23,"N/A",415,389,-9999
"DPA-028","NW","Amsinckia menziesii - Fiddleneck",7,"full leaf out",2022-03-23,"N/A",415,389,-9999
"DPA-028","SW","Amsinckia menziesii - Fiddleneck",2,"full leaf out",2022-03-23,"N/A",415,389,-9999
"DPB-014","NE","Annual grass",40,"full leaf out",2022-03-17,"N/A",352,395,398
"DPB-014","NW","Annual grass",44,"full leaf out",2022-03-17,"N/A",352,395,398
"DPB-014","SE","Annual grass",38,"full leaf out",2022-03-17,"N/A",352,395,398
